review,mysentiment,min,max,sentiment
['. Μια χαρα ειναι η τηλεόραση για τα 119 ευρω που την πηρα. Ειναι μια πολυ καλη value for money αγορα με 3 χρονια εγγύηση.'],0,-3,3,1
"['Κατ\' αρχήν με το που συναρμολόγησα την TV και την έβαλα να παίξει κάτι μου πήγε στραβά με τη μία. Έκανα συντονισμό, ρυθμίσεις στην εικόνα (τα menu έχουν πάρα πολλές ρυθμίσεις για την εικόνα) και η πρώτη παρατήρηση ήταν ότι η λαμπρότητα την οθόνης όχι μόνο δεν είναι 550 cd/m2 όπως λένε οι προδιαγραφές αλλά ούτε το μισό. Και η 32107 και η 40110 με πολύ λιγότερη λαμπρότητα στα χαρτιά είναι εμφανώς φωτεινότερες. Εν συνεχεία είχα πρόβλημα με τα χρώματα, πολλές πρασινίλες σε περιοχές που σε άλλες TVs είναι γκρίζες και πρασινωπή απόχρωση σε περιοχές που έπρεπε να είναι άσπρες (στο χρώμα του δέρματος όμως δεν έχει θέμα). Επίσης οι ασπρόμαυρες ταινίες είχαν πάλι πρασινίζουσα απόχρωση. Δοκιμάζοντας να γλυκάνω την εικόνα πήγα στην ψυχρή ρύθμιση και χρησιμοποίησα και την μπάρα απόχρωσης πιο-κόκκινο ή πιο-πράσινο ρυθμίζοντας βαθειά στο κόκκινο βέβαια, χωρίς το αποτέλεσμα που ήθελα, και μετά πήγα στην θερμοκρασία χρήστη για πετύχω κάτι πιο γλυκό (μήπως φάω πρασινίλες). Με το που πήγα στην θερμοκρασία χρήστη έπεσε αισθητά ο φωτισμός της οθόνης, που όπως είπα στην αρχή δεν είναι και τόσο πολύς, και δεν υπήρχε περιθώριο να ανακτήσεις το χαμένο ποσοστό ούτε βάζοντάς τον στο 100%. Θεώρησα ότι το συγκεκριμένο κομμάτι μπορεί να είναι ελαττωματικό και την έστειλα για έλεγχο (Θεσσαλονίκη), με μεταφορική που συνεργάζεται η αντιπροσωπεία και με δικά της έξοδα, δηλ. κανένα πρόβλημα με την αντιπροσωπεία (για μια ακόμα φορά) πρέπει να το πω αυτό καθαρά. Με ειδοποίησαν ότι ξαναεγκατέστησαν το λογισμικό, δεν είδαν αυτά που παρατήρησα, η τηλεόραση παίζει σαν τις άλλες ίδιες που έχουν, δηλ. πρακτικά έτσι παίζει (μου έδωσαν και μια εξήγηση για την πτώση του φωτισμού, αλλά να μην μακρυγορώ). Όταν γύρισε πίσω σε μένα έπαιζε ακριβώς με τον ίδιο τρόπο, άρα ότι θα γράψω, ελεγμένα πια, δεν αφορά προβληματικό κομμάτι αλλά το συγκεκριμένο μοντέλο.\nΠολύ συνοπτικά λοιπόν\n- δεν έχει καθαρή εικόνα (με κεφαλαία, θα έλεγα, αυτό)\n- δεν έχει καλά χρώματα, παρά την πληθώρα ρυθμίσεων που διαθέτει στο menu - 14/4/21 - ΠΡΟΣΟΧΗ - από άλλη κεραία σε άλλο σπίτι, πιο καλά χρώματα, γι\' αυτό αλλάζω την βαθμολογία σε 2 αστεράκια\n- εφ\' όσον δεν πάει κάποιος στην θερμοκρασία χρήστη έχει επαρκή λαμπρότητα, δηλ. ok, δεν υπάρχει πρόβλημα, αρκεί να ξεχάσει κανείς το 550cd/m2 των specs, που φαίνεται εντελώς ψεύτικο σαν ισχυρισμός\n- δεν έχει κάποιο πρόβλημα στις γωνίες θέασης (μια χαρά)\n- έχει εντελώς στοιχειώδη ήχο που δεν μπορείς να μην τον πεις κακό, όσο κι\' αν προσπαθήσεις.\nΔεν νομίζω ότι θέλω να ασχοληθώ άλλο με αυτήν την συσκευή, δεν πάει πάρα πολύς καιρός που έγραψα για την 32220H ότι είναι καλή τηλεόραση με καλή εικόνα και σαφώς επαρκή ήχο, όμως η 32111T είναι μια απογοήτευση, πολύ άτεχνη τηλεόραση και θα έπρεπε να ήταν πάρα πολύ φτηνότερη.\nΣε πρώτη ευκαιρία θα βρω μια φτωχή οικογένεια να την δώσω, και εκεί θα πιάσει τόπο και θα έχω κάνει και μια καλή πράξη.\nΜε την αντιπροσωπεία πάντως, θα το ξαναπώ, τα έχω πάει πολύ καλά μέχρι τώρα, δεν έχω κάποιο παράπονο.\n14/4/21 - Νέα διατύπωση στην παρακάτω παράγραφο, γιατί την είδα από άλλη κεραία σε άλλο σπίτι (δίπλα βέβαια σε μια παλιά, ""πεσμένη"" πια τηλεόραση) να παίζει καλύτερα (σαν χρώματα) απ\' ότι στο σπίτι μου, στο σπίτι μου ήταν και δίπλα σε άλλη καλή tv με αποτέλεσμα να τονίζονται τα (αναμφισβήτητα) προβλήματά της και να φαίνεται πραγματικά πολύ χάλια (χρώματα, καθαρότητα... τα πάντα).\n- Ακόμα πάντως δεν μπορώ να χωνέψω και να πιστέψω ότι το συγκεκριμένο μοντέλο έχει αυτήν την τιμή έτσι όπως παίζει. Η F&U έβγαλε στην αγορά μια πραγματικά άτεχνη τηλεόραση. -\nΛάθος μου που πήρα μια TV χωρίς να την δω πρώτα, λόγω κορωνοϊού βέβαια, αλλά είχε τα ίδια, πολύ καλά σε ρυθμίσεις για την εικόνα menu με την 32220Η και ξεγελάστηκα ότι θα μπορώ να πετύχω ένα καλό αποτέλεσμα.\nΑπλώς πληροφοριακά, η αρκετά παλιότερη FL32205H, που κάποια τελευταία κομμάτια πουλιόντουσαν αρκετά πρόσφατα από γνωστό πολυκατάστημα στα 139 ευρώ, είναι κλάσεις ανώτερη σε εικόνα, δηλ. καμμία απολύτως σχέση. \nΣ.Δ.']",0,-3,3,0
"['Για τα χρήματα της είναι πολύ καλή. Έχει έντονα χρώματα και τα τελευταία 2 χρόνια δεν έχει παρουσιάσει κανένα πρόβλημα. Το μόνο αρνητικό είναι ότι σε σύγκριση με άλλες εταιρίες και με μία lcd παλιότερης γενιάς μου φαίνεται ότι δεν έχει τόσο ""καθαρή"" εικόνα. Αλλά σίγουρα θα την πρότεινα σε όποιον θέλει κάτι οικονομικό.\n* Στα θετικά θέλω να προσθέσω ότι είναι πάρα πολύ ελαφριά, οπότε είναι και εύκολη η μεταφορά της.']",0,-3,2,1
['Την πήρα μεταχειρισμένη 50 ευρώ. Και 120 που κάνει τώρα αξίζει... Ελαφριά λόγο υλικών κατασκευής... ΜΙΑ ΧΑΡΆ... 4 Αστέρια απλά κ μονο ότι με low budget δεν μπορείς να συγκρίνεις άλλες ποιότητες.. άλλης κατηγορίας?!'],0,-1,1,1
['Τήν έχω σχεδόν ένα χρόνο .Κανένα πρόβλημα μέχρι τώρα .Πολύ εύχρηστο μενού .Γιά τά λεφτά πού έδωσα είναι τέλεια .'],1,-2,3,1
"['Την αγόρασα πέρσυ για το εξοχικό , ήρθα φέτος και έχει πρόβλημα. Εκεί που βλέπεις σβήνει η οθόνη και απλά ακούς τον ήχο. Την κλείνεις , την ξανά ανοίγεις και παίζει για 5 λεπτά και μετά κάνει πάλι το ίδιο.\nΔεν έχει παίξει πάνω από 30 ώρες, δώστε λίγα παραπάνω και πάρτε κάτι επώνυμο']",0,-2,2,0
"['Απαράδεκτη βάση στήριξης με δεύτερης ποιότητας υλικά αφού πήγα να την βιδώσω και οι βίδες κοπήκαν και έσπασαν μέσα, στο τσακ πρόλαβα να μην φύγει και η τηλεόραση κάτω']",0,-2,2,0
['Αγορα 95 ευρω πριν ενα χρονο!\nΟτι καλυτερο σ αυτα τα λεφτα!!!'],0,-1,1,1
['Καλή για τα χρήματα της και για δωμάτιο ότι πρέπει'],0,-1,1,1
"['Καλή εικόνα,δυνατός ήχος και ελαφριά κατασκευή.Αξίζει τα λεφτά της!!!']",0,-2,1,1
"['Τέλεια ποιότητα, ωραία εικόνα, ήχος για 100€ + - είναι καλή αγορά']",0,-1,1,1
"['Μην τολμήσετε να πάρετε μια τέτοια τηλεόραση. Σε ένα χρόνο έκαψε πλακέτα. Αφού βρήκα μετά από πολύ ψάξιμο  το servise μέσω του μαγαζιού που την αγόρασα άρχισε ο νέος γολγοθάς. Εδώ και 25 μέρες το εξουσιοδοτημένο servise που την πήγα ,καθότι εντός εγγυήσεως , περιμένει απάντηση από την μητρική εταιρεία για το αν θα προχωρήσει στην επισκευή. Κλαυσίγελως....πέταξα τα χρήματά μου...']",0,-2,1,0
['Πολυ καλή τηλεόραση για τα χρήματα της. Για μένα η πιο καλή απο τις τηλεορασεις που δεν έχουν γνωστό brand name.'],0,-1,1,1
['Πάρα πολύ ευχαριστημένη από τη γενική απόδοση της τηλεόρασης. Πεντακάθαρη εικόνα...πανέμορφα χρώματα....έχω γίνει τηλεορασάκιας εξαιτίας της'],0,-2,2,1
"['Το μονο αρνητικό που εντόπισα κατασκευαστικα αφορά τη λιστα δορυφόρων η οποια δεν περιέχει μερικούς βασικους για την Ελλάδα δορυφόρους. Ήχος, εικόνα, όλα εντάξει. Καλή για τα λεφτά της.']",0,-2,1,1
"['μου εκαψε πλακετα σε 1,5 χρονο']",0,-1,1,0
['Σε 11 ημέρες κάηκε η τηλεόραση..... Χάλια μαύρα..... Μακριά'],0,-1,1,0
['Εχω παρει 4 προς το παρων για νοικιαζομενα δωματια.Η τιμη της απλα δεν υπαρχει.'],0,-1,1,1
"['Για την τιμή του μια χαρά είναι, ωραία χρώματα αλλά σε γωνίες θέασης χαλάει κάτι μου με ενοχλεί αλλά εντάξει παλεύεται']",1,-2,3,1
['Είναι τέλεια. Φοβερα χρώματα και ο ήχος καλος.'],1,-1,3,1
"['Δεν ξέρω αν συνέβει και σε άλλους, αλλά τουλάχιστον η τηλεόραση που έλαβα εγώ ""assembled in Poland"" 7/2020 με αυτοκόλλητο ενός διανομέα από Βουκουρέστι ""RO Importator Dante SRL"" ήταν ανοιγμένη και ξανακλεισμένη!\n\nΗ επίσημη αντιπροσωπεία μου είπε πως δεν θα έκαναν αυτοί κάτι τέτοιο.\nΟ πωλητής μου είπε πως πιθανότατα είναι λόγω ανανέωσης λογισμικού (στην ίδια χρονιά;;;;)\n\nΌπως και να \'χει δεν την κράτησα.']",0,-2,1,0
['Πήρα αυτήν γιατί εμπιστεύτηκα το Όνομα. Για τα δικά μου χαμηλά στανταρ είναι τέλεια. Καλός ήχος για μικρό δωμάτιο και πολύ καλύτερη εικόνα από μια κατοστόευρη που είχαμε. Αξίζει τα λεφτά της και προβλέπω να κρατήσει για χρόνια.'],0,-3,3,1
['Την έχω 3 μέρες και έχω μετανιώσει που την πήρα....όχι μόνο έχει άθλιο μενού...ούτε στο playstore δεν μπορείς να βγάλεις άκρη....δεν αξίζει 200€.....130€ κάτι γίνεται'],0,-2,2,0
['Πολυ καλή οθόνη va panel και non smart οπότε 0 κολλήματα και bugs.'],0,-1,1,1
['Πολύ καλή εικόνα και ήχος αναλογικά και με το κόστος της . Άφθονες είσοδοι για να συνδέσεις ότι θες . Τη δοκίμασα και σαν οθόνη υπολογιστή αλλά εκεί υστερούσε αρκετά σε σχέση με μια αντίστοιχων ιντσών οθόνη . Σίγουρα αξίζει περισσότερο από μία αντίστοιχη FU που είχα δει σε ένα φίλο . Για τα 149€ που την πήρα είναι εξαιρετική . Για κάποιον που ενδιαφέρεται για μικρή και αρκετά καλή και φθηνή τηλεόραση αξίζει να την κοιτάξει σε σχέση με πολλές ΑΝΩΝΥΜΕΣ  !'],1,-2,3,1
"['Την αγόρασα 129 ευρώ, τώρα πήγε 199, για την τιμή της και για το υπνοδωμάτιο που την έχω,μια χαρά είναι.']",1,-1,3,1
['Είναι μια παρα πολύ καλη τηλεόραση με ικαποιητικη εικόνα και ήχο. όταν την είχα αγοράσει 130€  και ηταν value for money για παραπάνω χρήματα σίγουρα υπάρχουν καλύτερες επιλογές.'],1,-1,2,1
"[""Η συσκευη δεν διαθετει HDR ουτε Wi-Fi που γραφει στα χαρακτηριστικα. Tnν αγορασα γιατι ειναι ολοκαινουργιο μοντελο και για να αποφυγω τα παλια που υπαρχει πιθανοτητα να σου βγει τηλεοραση βιτρινας με απειρες ωρες λειτουργιας στο ραφι.\nΕντελως βασικη και τιμια τηλεοραση που σου δινει ολα σου υποσχεται. Φωτεινη οθονη με καλη αντιθεση και καταμαυρο χτυπητο μαυρο. Ο ηχος πολυ ποιοτικος αλλα οχι δυνατος, πραγμα που δεν χρειαζεται σε μια 24'' που θα χρησιμοποιειται σε μικρους χωρους αλλωστε. \nΕχει μερικες ιδιαιτεροτητες το τηλεχειριστηριο και να μην ξεχναμε οτι ο μονος τροπος για να μπουν στη σωστη σειρα τα καναλια ειναι να μπουν σε λιστα με τα αγαπημενα πρωτα, να τακτοποιηθουν εκει και απο εκει να γινεται επιλογη τους.\nΣυνδεσιμοτητα με PC και σε VGA για οσους εχουν παλια καρτα γραφικων και δυο HDMI. Δυστυχως οχι Wi-Fi ειπαμε. \nΕλπιζω η TPVision να φανει ανταξια του ονοματος Philips στο χρονο και σ' αυτο το μοντελο. Συμπερασματικα μια παρα πολυ καλη επιλογη για οσους ψαχνουν κατι ποιοτικο στα 150-160€.""]",0,-3,2,1
['Άψογη τηλεόραση για τα χρήματα τής'],0,-1,1,1
['Πολυ καλη 32αρα για τα 129 ευρω της προσφορας που την αγορασα!'],1,-1,3,1
"['Απροσδόκητα καλό ηχείο για μουσική. Η μπαταρία ήρθε φουσκωμένη και χρησιμοποίησα κάποια από παλιότερο κινητό. Αποθηκεύει μόνο 300 επαφές στη συσκευή (πολύ λίγες), και η αναζήτηση των επαφών είναι άχρηστη. Πατάς ένα γράμμα και δε σε πάει σε επαφές που αρχίζουν από αυτό, αλλά σου δείχνει όσες το περιέχουν. Κλειστό δεν κρατάει μπαταρία, οπότε δεν το έχεις για backup.\n\nΔεν είχα κάτι άλλο στην ίδια τιμή για να το συγκρίνω.']",0,-3,3,0
"['μυνήματα κλήσεις ράδιο ξυπνητήρι, έχει όλα όσα θες με 10ε. τιμιο. δυνατό ηχείο για ράδιο .Δεν  έχει φορτιστή μέσα μόνο καλώδιο.']",0,-1,1,1
['Πηρα αυτό το κινητό για την μητέρα μου ελαττωματικό δεν αναγνωρίζει υην σιμ και οταν τους πηρα τηλ να τους το πω γιατί το παρειγκιλα απο το ίντερνετ μου ειπαν να τους το παω να το στείλουν στην αντιπροσωπεία και αν ειναι ελαττωματικό θα μου το αλλάξουν να περιμένω δηλαδή αλλη μια εβδομάδα.. Τζαμπα τα λεφτά πηγα να γλυτώσω 20 ευρώ και βρήκα ζημιωμενη.. ΜΟΥΦΑ ΜΗ ΚΆΝΕΤΕ ΤΟ ΛΆΘΟΣ'],0,-2,1,0
['το κινητο ειναι μες τα φλειμς'],0,-1,1,1
"['To πήρα για ώρα ανάγκης γιατί είχα πρόβλημα με τη θύρα φόρτισης του smartphone. Σαν κατασκευή καλό... είναι από αυτά που μπορεί να πέσουν κάτω 100 φορές και να μη χαλάσουν. Τα πλήκτρα σκληρά, κάνουν πολύ θόρυβο. Με το ηχείο δε βγάζω άκρη... πότε βάζω την ένταστη στη μέση και δεν ακούω τίποτα, μετά τη βάζω λίγο παραπάνω και ακούγεται αυτός που με καλεί λες και τον έχω σε ανοιχτή ακρόαση. Το μενού είναι λίγο δύσκολο στην πλοήγηση. Τα μηνύματα πρέπει να σβήνεις ένα-ένα... δεν υπάρχει επιλογή να σβηστούν όλα μαζί. Πολύ χρονοβόρα διαδικασία αν αναλογιστούμε τα πολλαπλά SMS από παραγγελίες συν το 13033. Το κλείδωμα του πληκτρολογίου (γραμμή-αστεράκι) σε συνδιασμό με το σβήσιμο της οθόνης (power) είναι επίσης χρονοβόρο. Μου έχει τύχει πολλές φορές να πάω να ενεργοποιήσω την οθόνη και να με πάρουν εκείνη τη στιγμή τηλέφωνο, οπότε κατά λάθος τερμάτισα τη κλήση. Τα συγκεκριμένα κουμπιά μάλιστα μόλις μέσα σε 1 βδομάδα άρχισαν να μη ψιλοπειθαρχούν. Η μπαταρία απαράδεκτη... ! 15 λεπτά να μιλήσεις, θα σου φάει 1 απ΄τις 5 μπάρες. Μόνο για ξυπνητήρι και φακό χρησιμεύει αυτό το πράγμα... και για ώρα ανάγκης όπως το πήρα εγώ.']",1,-2,3,0
['Η μπαταρία του είναι για κλάματα \n2 μέρες το πολύ...σαν τηλέφωνο καλό είναι για κάποιον που δεν θέλει smart'],0,-4,3,0
"['Είναι μικρό σαν μπρελόκ. Δεν φαίνεται από τις φωτογραφίες το μέγεθος του, είναι μικρότερο από ένα δάχτυλο.']",0,-2,1,1
"['Δεν αξίζει τα 15 € που το πήρα. Σήμα μηδαμινό, δεν γίνεται να βγάλω μια κλήση και να βγάλω άκρη. Το bloototh δεν συνδέεται με τα ακουστικά. Ουτε για τα απλά δεν κάνει.']",0,-2,1,0
"['συν:\nΈχει ηχογράφηση, ηχογραφεί και κλήσεις, παίζει μουσική από κάρτα μνήμης με ικανοποιητική ένταση, συνδέεται με bluetooth ακουστικό (με μικρή εμβέλεια-αν το κλείνεις στη χούφτα του χεριού σου χάνεται ο ήχος)\nΈχει πάρα πολύ γρήγορη πλοήγηση στο απλό μενού του.\nΣυνδέεται με τον υπολογιστή σαν mass storage.\nΓράφεις μήνυμα μια χαρά χωρίς πρόβλεψη και λεξικό βέβαια.\nΈχει ξυπνητήρι.\nΜε μέτρια αντρικά δάχτυλα (και με λεπτότερα ακόμα καλύτερα) τα κουμπιά πατιούνται πολύ καλά. \nΚαι με πιο χοντρά πάντως δεν είναι απαγορευτική η χρήση του.\nπλην:\nέλλειψη ανοιχτής ακρόασης στην κλήση \nέλλειψη δόνησης\nσυχνές αποσυνδέσεις με ακουστικά bluetooth\nμικρή μπαταρία (αλλά φορτίζει και πολύ σύντομα)']",1,-2,3,1
['Το έχω 4 μήνες πολύ χρήσιμο και πρακτικό δεν προεξέχει απ τη τσέπη σου σε βολεύει..και όπου πας περνάς καλά πχ παραλία δε φοβάσαι να στο κλέψουν 13ε ..εχω φυσικά και smart phone που το παίρνω σπάνια μαζί μου..το μικρό ειναι σούπερ γιατί όπου πας απολαμβάνεις τη στιγμή την παρέα και δεν ασχολείσαι με το ίντερνετ και τα social media..'],1,-2,3,1
"['Πολύ καλό για να το κρύβεις, πολύ μικρό για να το χάνεις. Πολύ καλό για την τιμή του. Είναι απλά τηλέφωνο ανάγκης']",1,-2,3,1
"['Edited: Το κινητό λόγω μεγέθους, ξεχάστηκε σε μια τσέπη και πλύθηκε... αφού του έβγαλα τη μπαταρία και το άφησα ανοιχτό 1-2 μέρες, πλέον λειτουργεί κανονικά.']",0,-2,2,1
"['Σαββατο 7 Δεκεμβριου 2019 εκανα την παραγγελια σε Κοκκινο χρωμα.\nΔευτερα 9 Δεκεμβριου 2019 το παρελαβα. \nΟμορφη συσκευασια, με περιεχομενο 3 πραγματα: ""Συσκευη, Καλωδιο USB, και βιβλιαρακι.\nΕιναι πολυ μικρο τηλεφωνο, παιχνιδι μπορεις να το πεις. Θα φοβασαι μην το χασεις.\n\nΣτο πληκτρολογιο λειτουργουν ολα τα κουμπακια εκτος απο το Τετραγωνο κουμπακι στην μεση που δυστυχως εχει επιλογες μονο Πανω και Κατω. \nΑριστερα και Δεξια δεν εχει να πατησεις, ειναι φτιαγμενο απο το εργοστασιο μονο για κλικ επανω ή κατω.\nΑλλα το σημαντικο ειναι οτι στο 90% της χρησης του τηλεφωνου, το τηλεφωνο μπορεις να το επεξεργαζεσαι μονο αν εχεις Νυχια.\nΑν εχεις πχ φαγωμενα Νυχια ειναι λιγο δυσκολο να χειριστεις το πληκτρολογιο του τηλεφωνου.\nΚατα τα αλλα ολα καλα. \n\nΣτην Οθονη τωρα, ΟΚ δεν εχει καμμια μεγαλη οθοναρα, αλλα την δουλεια σου την κανεις. \nΝομιζω εχει και την δυνατοτητα το τηλεφωνο να Blockαρεις και οποιον τηλεφωνικο αριθμο σε παρενοχλει.\nΑπο Ηχους πραγματικα εχει δυνατους ως προς την Ενταση για να ακους το τηλεφωνο οταν σε καλουν ή οταν εχεις μυνημα SMS.\nΤωρα απο θεμα Αναμονης μπαταριας, εγω το εχω γλαστρα το τηλεφωνο και 5 ημερες μου βγαζει ανετα. \nΦυσικα αν τηλεφωνεις ή στελνεις μυνημα SMS, ή το χρησιμοποιεις ως συσκευη Bluetooth για το αλλο σου τηλεφωνο το Smartphone, ε τοτε λογικο ειναι να σου κρστησει και 3 ημερες το Ανωτερο ή εστω 2 ημερες. Αναλογα και την χρηση που κανεις βεβαια.\n\n* Εξαλλου που θα πας και θα ληψεις απο το σπιτι σου 2-3-4 ημερες και δεν θα εχεις ρευμα για να φοβασαι μην μεινεις απο μπαταρια; \nΣτο βουνο; Στην Αρκτικη; Στον Βορειο πολο; \nΑν τυχει να λειψεις μερες απο το σπιτι σου, απλα προμηθευεσαι ενα μεγαλο Power Bank με θυρα USB το οποιο εχεις ηδη προφορτωσει με ρευμα ή ηλιακη ενεργεια απο το σπιτι σου και δεν σε νοιαζει τιποτα πανω στο θεμα αναμονης της μπαταριας του μικροσκοπικου τηλεφωνου σου... \n\nΤωρα, στο πακετο δεν συμπεριλαμβανεται δυστυχως ειδικο κλιπακι για να τοποθετεις το τηλεφωνακι στο αυτι σου οταν θες να το χρησιμοποιησεις σαν συσκευη Bluetooth για το αλλο σου τηλεφωνο το Smartphone, αλλα και παλι ειναι εξυπηρετικο.\nΕιναι ενα τηλεφωνο καθαρα κατασκευασμενο για να Πραγματοποιεις και νς λαμβανεις Κλησεις, και να Στελνεις-Λαμβανεις μυνηματα SMS.\nΑπο κει και επειτα αν εχεις απαιτησεις και ιδιοτροπιες, απλα δεν το αγοραζεις και παε και αγοραζεις ενα τηλεφωνο Smartphone.']",1,-2,3,1
['Το πήρα 27€ και δεν υπάρχει κάμερα'],0,-1,1,0
['Σε λιγοτερο απο χρονο φούσκωσε η μπαταρια του οποτε παει για φουντο... Κριμα γιατι μου αρεσε πολυ!'],1,-1,2,1
['Σούπερρρρρρρρρρρρρρ ....'],0,-1,1,1
['Μετα απο ενα χρονο περιπου φουσκωσε η μπαταρια του κ θα το πεταξω'],0,-1,1,0
['Πολυ μικρό για ευκολο χειρισμό.'],0,-2,2,0
['καλό για τα λεφτα του για τηλ κλίσεις .'],1,-1,3,1
['Παρά πολύ καλό με κάρτα σιμ κρατάει 1 μισή μέρα άψογο'],1,-2,3,1
['το καλύτερο μίνι κινητό τηλέφωνο που κυκλοφορεί\nάριστη σχέση ποιότητας τιμής'],0,-1,1,1
['Το μικρό που θα σε τρελάνει..'],0,-2,1,1
['Μπαταρία σε αναμονή κρατάει περίπου 4 μέρες'],0,-1,1,1
['Το καλύτερο κινητό πολύ εξυπηρετικό επειδή δεν έχει σήμα GPS και δεν σε βρίσκουν εύκολα πολύ καλό άμα μένετε Μενίδι ιδικά ότι κλτρ για της δουλειές μπράβο στον κατασκευαστή'],1,-2,3,1
"['Αξίζει τα χρήματα στο 100%, δυνατό ηχείο στην κλήση αλλά και στην ανοικτή ακρόαση,πρακτικό μενού με όλα τα καλούδια,  μόνο που δεν έχει ακουστικά στη συσκευασία, αλλά για 15 ευρώ με τα μεταφορικά  είναι τζαμπέ ολέ το προϊόν. Ευχαριστημένος.']",0,-1,1,1
