review,result,min,max,stars tag
"['Κατ\' αρχήν με το που συναρμολόγησα την TV και την έβαλα να παίξει κάτι μου πήγε στραβά με τη μία. Έκανα συντονισμό, ρυθμίσεις στην εικόνα (τα menu έχουν πάρα πολλές ρυθμίσεις για την εικόνα) και η πρώτη παρατήρηση ήταν ότι η λαμπρότητα την οθόνης όχι μόνο δεν είναι 550 cd/m2 όπως λένε οι προδιαγραφές αλλά ούτε το μισό. Και η 32107 και η 40110 με πολύ λιγότερη λαμπρότητα στα χαρτιά είναι εμφανώς φωτεινότερες. Εν συνεχεία είχα πρόβλημα με τα χρώματα, πολλές πρασινίλες σε περιοχές που σε άλλες TVs είναι γκρίζες και πρασινωπή απόχρωση σε περιοχές που έπρεπε να είναι άσπρες (στο χρώμα του δέρματος όμως δεν έχει θέμα). Επίσης οι ασπρόμαυρες ταινίες είχαν πάλι πρασινίζουσα απόχρωση. Δοκιμάζοντας να γλυκάνω την εικόνα πήγα στην ψυχρή ρύθμιση και χρησιμοποίησα και την μπάρα απόχρωσης πιο-κόκκινο ή πιο-πράσινο ρυθμίζοντας βαθειά στο κόκκινο βέβαια, χωρίς το αποτέλεσμα που ήθελα, και μετά πήγα στην θερμοκρασία χρήστη για πετύχω κάτι πιο γλυκό (μήπως φάω πρασινίλες). Με το που πήγα στην θερμοκρασία χρήστη έπεσε αισθητά ο φωτισμός της οθόνης, που όπως είπα στην αρχή δεν είναι και τόσο πολύς, και δεν υπήρχε περιθώριο να ανακτήσεις το χαμένο ποσοστό ούτε βάζοντάς τον στο 100%. Θεώρησα ότι το συγκεκριμένο κομμάτι μπορεί να είναι ελαττωματικό και την έστειλα για έλεγχο (Θεσσαλονίκη), με μεταφορική που συνεργάζεται η αντιπροσωπεία και με δικά της έξοδα, δηλ. κανένα πρόβλημα με την αντιπροσωπεία (για μια ακόμα φορά) πρέπει να το πω αυτό καθαρά. Με ειδοποίησαν ότι ξαναεγκατέστησαν το λογισμικό, δεν είδαν αυτά που παρατήρησα, η τηλεόραση παίζει σαν τις άλλες ίδιες που έχουν, δηλ. πρακτικά έτσι παίζει (μου έδωσαν και μια εξήγηση για την πτώση του φωτισμού, αλλά να μην μακρυγορώ). Όταν γύρισε πίσω σε μένα έπαιζε ακριβώς με τον ίδιο τρόπο, άρα ότι θα γράψω, ελεγμένα πια, δεν αφορά προβληματικό κομμάτι αλλά το συγκεκριμένο μοντέλο.\nΠολύ συνοπτικά λοιπόν\n- δεν έχει καθαρή εικόνα (με κεφαλαία, θα έλεγα, αυτό)\n- δεν έχει καλά χρώματα, παρά την πληθώρα ρυθμίσεων που διαθέτει στο menu - 14/4/21 - ΠΡΟΣΟΧΗ - από άλλη κεραία σε άλλο σπίτι, πιο καλά χρώματα, γι\' αυτό αλλάζω την βαθμολογία σε 2 αστεράκια\n- εφ\' όσον δεν πάει κάποιος στην θερμοκρασία χρήστη έχει επαρκή λαμπρότητα, δηλ. ok, δεν υπάρχει πρόβλημα, αρκεί να ξεχάσει κανείς το 550cd/m2 των specs, που φαίνεται εντελώς ψεύτικο σαν ισχυρισμός\n- δεν έχει κάποιο πρόβλημα στις γωνίες θέασης (μια χαρά)\n- έχει εντελώς στοιχειώδη ήχο που δεν μπορείς να μην τον πεις κακό, όσο κι\' αν προσπαθήσεις.\nΔεν νομίζω ότι θέλω να ασχοληθώ άλλο με αυτήν την συσκευή, δεν πάει πάρα πολύς καιρός που έγραψα για την 32220H ότι είναι καλή τηλεόραση με καλή εικόνα και σαφώς επαρκή ήχο, όμως η 32111T είναι μια απογοήτευση, πολύ άτεχνη τηλεόραση και θα έπρεπε να ήταν πάρα πολύ φτηνότερη.\nΣε πρώτη ευκαιρία θα βρω μια φτωχή οικογένεια να την δώσω, και εκεί θα πιάσει τόπο και θα έχω κάνει και μια καλή πράξη.\nΜε την αντιπροσωπεία πάντως, θα το ξαναπώ, τα έχω πάει πολύ καλά μέχρι τώρα, δεν έχω κάποιο παράπονο.\n14/4/21 - Νέα διατύπωση στην παρακάτω παράγραφο, γιατί την είδα από άλλη κεραία σε άλλο σπίτι (δίπλα βέβαια σε μια παλιά, ""πεσμένη"" πια τηλεόραση) να παίζει καλύτερα (σαν χρώματα) απ\' ότι στο σπίτι μου, στο σπίτι μου ήταν και δίπλα σε άλλη καλή tv με αποτέλεσμα να τονίζονται τα (αναμφισβήτητα) προβλήματά της και να φαίνεται πραγματικά πολύ χάλια (χρώματα, καθαρότητα... τα πάντα).\n- Ακόμα πάντως δεν μπορώ να χωνέψω και να πιστέψω ότι το συγκεκριμένο μοντέλο έχει αυτήν την τιμή έτσι όπως παίζει. Η F&U έβγαλε στην αγορά μια πραγματικά άτεχνη τηλεόραση. -\nΛάθος μου που πήρα μια TV χωρίς να την δω πρώτα, λόγω κορωνοϊού βέβαια, αλλά είχε τα ίδια, πολύ καλά σε ρυθμίσεις για την εικόνα menu με την 32220Η και ξεγελάστηκα ότι θα μπορώ να πετύχω ένα καλό αποτέλεσμα.\nΑπλώς πληροφοριακά, η αρκετά παλιότερη FL32205H, που κάποια τελευταία κομμάτια πουλιόντουσαν αρκετά πρόσφατα από γνωστό πολυκατάστημα στα 139 ευρώ, είναι κλάσεις ανώτερη σε εικόνα, δηλ. καμμία απολύτως σχέση. \nΣ.Δ.']",0,-3,3,-1
"['Αγορασε την! Value for Money! Ωραιος φωτισμος! Αν θες διάβασε παρακάτω αναλυτικά\n\nΤην πήρα για τους Παππούδες σαν αντικατάσταση σε μια παλιά 22αρα lcd που παρέδωσε πνεύμα! Ημουν σκεπτικος στο να παρω LG μιας και εγω για μενα ειχα επιλεξει την αντιπαλη ομαδα. Ομως τελικα δεν το μετανιωσα καθολου και αρχιζω να σκεφτομαι οτι για ΠΑΡΟΜΟΙΑ ΤΕΧΝΟΛΟΓΙΑ ισως οι LG να αξιζουν περισσοτερο και ο ΜΟΝΟΣ λογος ειναι ο εξης. DIRECT VS EDGE LIGHTING!!!!!!\nΗ συγκεκριμενη και γενικα απο οτι ειδα και αλλα μοντελα της LG εχουν τον απευθειας φωτισμό πισω απο το πανελ ενω η αντιπαλη γνωστη ομαδα (αυτη που εχω εγω) φοραει τον γωνιακο φωτισμο. Εμενα προσωπικα ο γωνιακος φωτισμος με χαλαει πολυ και ειδικα στις ΜΑΥΡΕΣ σκηνες σε σκοτεινο περιβαλλον  φαινεται λες και εχεις βαλει απο πισω στις γωνιες φωτιστικο χωρου να φωτιζει προς το κεντρο την οθονης και ειναι ασχημο . To λεγομενο TV BLEEDING. Σε αυτη λοιπον την LG οταν την τεσταρα η εικονα στα μαυρα ειναι πολυ καλυτερη απο την αντιπαλη ομαδα. Απο εκει και περα τα υπολοιπα ολα ειναι value for money και δεν βρηκα κατι που να ""λειπει"". Το στησιμο ευκολο, το τηλεκοντρολ ωραιο απλο. και δεν παρατηρησα καποιο lag που διαβασα καπου. Εχει οτι χρειαζεται μια τετοια τηλεοραση για την εποχη μας με εισοδους/εξοδους καθως και apps (netflix κτλ).\n\nΤο μονο ΤΕΡΑΣΤΙΟ αρνητικο που διαβασα ομως και το ειδα και εγω σε συγκριση παντα με την αντιπαλη ομαδα και δεν ειμαι biased, ειναι το ΜΕΝΟΥ. ΚΑΚΙΣΤΟ/ΑΘΛΙΟ μενου!!!!!! Θελει δουλεια δυστηχως και μαλιστα πολυ. Ειναι μεγαλο, περιπλοκο, με πολλα submenu και γενικα ακομα και για μενα που ειμαι tech oriented ζοριστικα πολυ. Ηταν τοσο κακο που η μεταφορα των καναλιων ηταν πολυ δυσκολη για να βρεις και που ειναι αλλα και τελικα πως γινεται. Της αλλης εταιρειας ειναι πολυ πιο απλο και ξεκαθαρο/ευχρηστο \n\nΑν εξαιρεσεις ομως αυτο το γεγονος με το μενου και κατσεις μια φορα να ασχοληθεις και τελος, η τηλεοραση σαν εικονα/ηχος/ποιοτητα αξιζει και με το παραπανω. Θα την αγοραζα και για μενα σε δωματιο/κουζινα μονο και μονο για τον φωτισμο που εχει. \nΞΑΝΑΛΕΩ μιλαω παντα για την συγκεκριμενη τενοχλογια LED smart tv και κανω συγκριση μεταξυ μοντελου του 2018 με edge αντιπαλης εταιρειας με μοντελο 2019 direct LG ΙΔΙΑΣ ΤΕΧΝΟΛΟΓΙΑ.']",0,-3,3,1
"['Εξαιρετική για τα λεφτά που κοστίζει. Εύκολη στην συναρμολόγηση/εγκατασταση, καλή εικόνα και ήχος (full hd), ικανοποιητικό μέγεθος για μικρό χώρο. Value for money!']",-1,-2,1,1
"['Είμαι κάτοχος της συγκεκριμένης LG 32’’, smart τηλεόρασης περίπου τρεις μήνες.\nΕίναι μια FHD με πολύ καλή εικόνα στο default set up (έχει αρκετές επιλογής για παραμετροποίηση της εικόνας αλλά με κούρασε και προς το παρόν την έχω στο default), έχει καλό ήχο (για το υπνοδωμάτιο), καλό wi-fi αλλά για λόγους ταχύτητας την έχω μόνιμα με ethernet, έχει πολύ καλό Bluetooth το οποίο κλειδώνει αρκετά γρήγορα και χωρίς αποσυνδέσεις (ακουστικά - smartphones), δυνατό επεξεργαστή με αρκετά καλή απόκριση στις εντολές.\nΗ HDMI σύνδεση πολύ καλή ειδικά σε ταινία με FHD ανάλυση.\nΗ USB σύνδεση με εξωτερικά μέσα επίσης πολύ καλή, με γρήγορη απόκριση και ο default player είναι πολύ καλός ακόμη και σε 4κ αρχεία.\nΑν επιλέξει κάποιος να τη βάλει στον τοίχο (όπως εγώ) θέλει μεγάλη ΠΡΟΣΟΣΧΗ στην επιλογή της βάσης, διότι σε μια βάση με μικρή απόσταση από τον τοίχο δεν θα έχει αρκετό χώρο πίσω για τα καλώδια, με αποτέλεσμα τα καλώδια να πρέπει να λυγίσουν πολύ.\nΕπίσης το καλώδιο ρεύματος θεωρώ πως θα μπορούσε να είναι λίγο μεγαλύτερο.\nΠανάλαφρη, με μέτρια προς το εύθραυστη ποιότητα κατασκευής.\nΤηλεκοντρόλ, άμεσο με πολλές λειτουργίες αλλά λόγω μεγέθους δύσχρηστο στο σκοτάδι, όπως και στο internet, θεωρώ μονόδρομο το magic (δε το έχω αγοράσει ακόμη).\nΕν κατακλείδι αν και λίγο τσιμπημένη η τιμή της πιστεύω πως τη δικαιολογεί μέχρι τελευταίας δεκάρας!']",0,-3,3,1
"['Η τηλεόραση είναι πολύ καλή. Την πήρα για το δωμάτιο του γιού μου και ήθελα να έχει καλή ανάλυση. Δείχνει πολύ καθαρά και είναι ξεκούραστη στα μάτια. Μια 42"" LG που έχω στο σαλόνι δείχνει λιγότερο καθαρά. Στα χαρτιά μέσα γράφει ότι είναι 4Κ ενώ εδώ γράφει ότι είναι full HD. Δεν ξέρω τελικά τι είναι αλλά άξιζε την αγορά αν και την εχασα για λίγες μέρες με έκπτωση. Τη συνδεσαμε εύκολα. Δεν δυσκολευτηκαμε με το μενού. Το τηλεχειριστήριο είναι οκ. Δεν μου φάνηκε μικρό. Έχει όλες τις απαραίτητες λειτουργίες. Για οσα προσφέρει είναι πολύ καλή επιλογή.']",1,-2,3,1
"['Με εμπειρία χρόνων απο Samsung , θα έλεγα οτι  η δεύτερη εχει ξεφύγει απο ολες τις αλλες μάρκες.\nΩστόσο είμαι πολύ ικανοποιημένος για την χρήση της-για την κουζίνα -και σε εικόνα και σε ήχο.Αυτό που σίγουρα θα δυσκολέψει κάποιον που δεν τα πάει καλά με την τεχνολογία , ειναι το menu της ,που είναι αρκετά πολύπλοκο.Γενικώς αξίζει τα χρήματά της']",1,-2,3,1
"['Ειναι μια value for money  επιλογη . Αμεση λειτουργία  χωρις πολλες δυσκολιες. Smart  και full hiigh definition.. Πολυ καλη ανταπόκριση  σε συνδεση με x box  χωρις κολλήματα. Γενικα για τα χρήματα της  αξιοππρεπεστατη και στυλατη...Ηχος  αρκετα καλος,  εικονα και χρώματα  ευκολα τα ρυθμιζεις  στις προσωπικες επιλογες...Συνεχιζουμε την εξερεύνηση.']",1,-2,3,1
['Τρομερή τηλέοραση με απίστευτη εικόνα και ήχο!\nΗ καλύτερη τηλεόραση πιστεύω που υπάρχει στα 60hz\nΓια να πάτε στα 120hz και πάνω πρέπει να δώστε τα διπλάσια λεφτά σε αυτές τις ίντσες.\nΜιλάμε ότι έχει από Netflix μέχρι υβριδική tv των ERT/SKAI/OpenTv και δικό της λειτουργικό σύστημα WebOS!\nΚαι φυσικά Full HD και το Rolland Garos φαίνεται κρύσταλλο στην ERT HD!'],-1,-2,1,1
['Αγόρασα  την 32αρα για το υπνοδωματίο. Αν και φοράει  πάνελ 60HZ έχει αρκετά καλή εικόνα με ομαλή κίνηση που δεν ζαλίζει ιδιαίτερα .Θα την ήθελα ποιο φωτεινή και καλύτερες γωνίες θέασης.Δεν είμαι 100% σίγουρος ότι χει πάνελ ips.\n Έχει δύσχρηστο μενού και μέτριο ήχο.Σαν media player παίζει όλα τα αρχεία με ευκολία.Netflix και youtube πάνε σφαίρα .\nΣτα 230 ευρώ που πουλιέται σίγουρα δεν είναι value for money.Η κανονική τιμή για αυτά που προσφέρει θα έπρεπε να είναι  170-190 ευρώ.'],0,-3,3,1
"[""Πολύ καλή ΤV που αξίζει τα χρήματα της. Σίγουρα ότι πληρώνεις παίρνεις, και η συγκεκριμένη τηλεόραση είναι στις ακριβές για 32'' αλλά διαθέτει εξαιρετική ποιότητα εικόνας και ήχου. Εμένα με βολεύουν και οι φωνητικές εντολές γιατί διαθέτω και το remote control της LG και έχει πολύ καλή και γρήγορη απόκριση. Αν και ακριβή όπως προείπα την θεωρώ vfm""]",0,-2,2,1
"['Εχω τη Sony Bravia FULL HD 100hz, δεκαετιας και ηθελα μια για δωματιο, ιδρωσα να βρω μια τηλεωραση αξιας σε ""specs"". Οι εταιριες σε 32"" φτιαχνουν μαπα πλεων εκτος αν πατε σε θηρια το 43"" και ανω. \n\nΜετα απο πολυ ψαξιμο να σας πω οτι ειναι η μόνη 32"" τηλεοραση σε 2Κ, δηλ FULL HD, με HDR, με επεξεργαστη-4 core- εικονας (οπως η Sony) ,bluetooth, internet browser και ειναι SMART με καπως ""αργο"" WebOS . Κανει εγγραφη σε USB και playback!\n\nΑπο εικονα δεν τρελαθικα αρχικα, με κουρασε να βγαλω καλη εικονα, περιπου σαν της SONY.\n\nΝα σας πω οτι το setup ηταν πανευκολο, συνδεση WIFI αψογη!\nΕχει Netflix, Prime Video, Ert webtv, Skai webtv, Youtube, Spotify, LG store με πολλα αλλα APPS!\n\nΔεν ειναι απο Τουρκια (Vestel -για αυτους που ξερουν). Ειναι στην Πολωνια φτιαγμενη!\nΟλες πια ειναι φτηνω-κατασκευασμενες, δηλαδη πουπουλα!\n\nΕιχει καλουτσικο ηχο αλλα με ενα soundbar γινεται τελειος.\n\nΣιγουρα ειναι ακριβη για 32"" περιπου €230, δυστυχως ουτε η SONY βγαζει κατι καλο σε 32"" σημερα σε αυτα τα χρηματα! \n\nΑρκετα ""αχρηστα"" applications στο μενου, διαγραφοντας μερικα, εγινε ποιο γρηγορη και καλυτερη ανταποκριση σε αλλαγη καναλια, browsing, αλλαγη APPS κλπ.\n\nΣιγουρα η καλυτερα επιλογη σε αυτα τα ""specs"" που ηθελα εγω.']",1,-2,3,1
"['Λίγο δυσκολεύτηκα με το μενού, ακόμα δεν έχω βρει πολλά πράγματα και ακόμα μου φαίνεται δύσχρηστο μετά από 2 μήνες. Όλα τα υπόλοιπα είναι τέλεια']",1,-1,3,1
"['Πολύ καλή τηλεόραση, εύκολο menu, γράφει σε εξωτερικό δίσκο (PVR), πολύ καλή για τηλεόραση δωματίου, απλά ακριβή σε σχέση με την 42 που είναι μόνο 40 ευρώ παραπάνω']",0,-2,2,1
['Αν και αρχικά είχα κακή εμπειρία καθώς κάηκε στο panel ολόκληρη στήλη από pixel μετά από 2 ημέρες χρήσης και η LG αντί να κάνει αντικατάσταση την επισκεύασε…. γενικά έχω θετικές εντυπώσεις:\nΣτα θετικά:\n+ Καλό πάνελ για τα χρήματά της. Δεν είναι φυσικά αντίστοιχο με πιο ακριβές τηλεοράσεις.\n+ Πολύ καλός και δυνατός ήχος. Για κρεβατοκάμαρα σε καλύπτει πλήρως. Το ψευδό-virtual surround αρκετά πειστικό.\n+ Πολύ καλή συνδεσιμότητα και δυνατότητες. Εκτός από εξωτερικό δίσκο βλέπει πολύ εύκολα media servers στο δίκτυο. Επίσης εντυπωσιάστηκα με την δυνατότητα να συνδέεις μέσω Bluetooth ακουστικά για να μην ενοχλείς τους γύρω σου. \nΑρνητικά:\n-Σαν κατασκευή δεν είναι και τόσο ποιοτική.'],1,-2,3,1
['Πολύ καλή αγορά η συγκεκριμένη τηλεόραση. Πολύ ευχαριστημένος από το menu και το λογισμικό Webos της LG'],1,-1,2,1
"['Από τις καλύτερες που έχω δει.\nεξαιρετική εικόνα , καλός ήχος με λίγη εξοικείωση. εργονομικό τηλεχειριστήριο , ποιοτική κατασκευή , ωραίο design με πανευκολο μενού. μεγάλο value for money !\nγια την 32"" ο λόγος φυσικά.\nμερικές φορές δείχνει να κολλάει λίγο το σήμα .... νομίζω δεν έχει να κάνει με την τv.']",1,-2,3,1
"['Δεν διαπίστωσα ούτε ένα αρνητικό...  Επειδή είμαι κάτοχος αντίστοιχης και ακριβότερης 32 αρας κατά 70€ (της άλλης μεγάλης εταιρείας),  λοιπόν μπορώ να σας πω ότι είναι πολύ ανώτερη σε εικόνα, ήχο,  ταχύτητα επεξεργαστή, μόνο λίγο το μενού της είναι λίγο πιο δύσχρηστο. Εν ολίγοις για την ποιότητα και την τιμή της είναι ότι καλύτερο σε 32 άρα, αν και να πω την αλήθεια στην αρχή δεν το περίμενα...']",1,-2,3,1
"['Κάτοχος των 32"". Τιμή 280€. Η τηλεόραση είναι εξαιρετική για τα λεφτά της. Ιδανική για 2ή τηλεόραση σε δωμάτιο. Ίσως δεν έχει τα καλύτερα χρώματα και το πιο βαθύ μαύρο στην  κατηγορία των 32"" αλλά έχει το καλύτερο πακέτο features και εικόνας εν τέλη. Χρηστικότατη. Νetflix, YT, primeVideo σύνδεσιμοτητα Bluetooth για ακουστικά ώστε να μην ενοχλείς τους υπόλοιπους και smart share μέσω της LG για μεταφορά των ταινιών του ΗΥ σου στην TV χωρίς καλώδια. Μειονέκτημα τα για τους περιεργους:1)Τα ποδαράκια στήριξης είναι τοποθετημένα στις άκρες της τηλεόρασης μ αποτέλεσμα να μην τοποθετηται σε μικρά έπιπλα. 2)Οι λυχνίες της οθόνης είναι εγκαταστημενες στο πάνελ πάνω - κάτω με αποτέλεσμα στο μαύρο φόντο να φαίνονται σκιές.\nΕν κατακλείδι αν ψάχνεις smart tv με τίμια εικόνα στην καλύτερη τιμή δεν παίζει κάτι άλλο. Απλά την αγοράζεις.']",0,-2,2,1
"[""μόλις σήμερα την αγόρασα και είμαι ιδιαίτερα ικανοποιημένος. Σαν smart πάει σφαίρα, το μενού θα μπορούσε να είναι λίγο πιο φιλικό, αλλά με λίγη προσπάθεια το συνηθίζεις. Η εικόνα στην αρχή δεν ήταν πολύ καλή, όμως με λίγη προσπάθεια και αρκετές ρυθμίσεις έφτιαξε απίθανα. Ομοίως και ο ήχος. Πλέον όλα είναι τέλεια! \nΈχει media player και παίζει όλα τα βίντεο ακόμα και με την υψηλότερη ανάλυση, όλα τα αρχεία μουσικής και ανοίγει όλα τα αρχεία φωτογραφιών. \nΒασικά μιλάμε για έναν υπολογιστή με 32'' οθόνη!""]",1,-2,4,1
['Για ότι αναγράφει ότι προσφέρει είναι πολύ καλή!'],0,-1,1,1
['Έχει και (Υποστηρίζει Υβριδική τηλεόραση ) το κόκκινο κουμπί.'],0,-1,1,1
['Ίσως αμα ψαχτεις να βρείς κάτι καλύτερο οτι πληρώνεις περνεις εγω θα την ξανα επερνα'],-1,-2,1,1
['Η καλύτερη τηλεόραση 32 ιντσών! Έχει τα πάντα και εξαιρετική εικόνα! Συστήνεται!'],0,-1,1,1
['Νομίζω ότι είναι μακράν η καλύτερη τηλεόραση 32 ιντσών που έχω δει μέχρι τώρα!!!'],0,-1,1,1
"['Πολυ καλη !!!!!  πηρα  την 32""  και ειμαι πολυ ικανοποιημενος']",1,-1,3,1
['Πολύ καλή τηλεόραση με λίγα χρήματα. Αξίζει!'],0,-1,1,1
['Πολυ καλή οθόνη και ήχος.'],0,-1,1,1
['Είναι τέλεια πάρτε την!!!!\nΕιδικά στο μέγεθος και τα bezels της.'],1,-1,3,1
"['Καταπληκτικό πάνελ, πολύ πιο ωραία εικόνα απο Samsung με τα ίδια χαρακτηριστικά']",0,-1,1,1
['Αρκετά καλή και ποιοτική για τα χρήματα της.'],0,-1,1,1
"['Value for money,κάνει ότι λέει δεν κολλάει προς το παρόν.αρκετα γρήγορη πλοήγηση.μεγαλο εύχρηστο κοντρόλ.\nΟ ήχος θα μπορούσε να είναι καλύτερος αλλά για υπνοδωμάτιο είναι μια χαρά.']",1,-1,3,1
"['Χάλια προϊόν. Την επέστρεψα την επόμενη μέρα. Κάτι που κανένας πωλητής δεν αναφέρει, είναι η χώρα κατασκευής: Τουρκία! (=Vestel)']",1,-1,3,-1
['Καταπληκτικός ήχος! Καλή εικόνα. Σχετικά φιλικό μενού. Η τηλεόραση δεν συνδέονταν σε wifi και κολλούσε. Επιστράφηκε μέσω του εμπόρου για έλεγχο. Μετά την παραλαβή όλα λειτουργούν κανονικά.'],1,-2,3,1
"['Την έχω 3 μήνες. Από την αρχή άρχισε να μην ανταποκρίνεται στις εντολές από το τηλεχειριστήριο, παρότι είχε φρέσκες μπαταρίες και το λαμπάκι της τηλεόρασης άναβε. Επίσης δεν δεχόταν εντολές από το κουμπί menu που έχει πάνω της, Κόλλαγε. Για να ξεκολλήσει, την έβγαζα από το ρεύμα και επανερχόταν. Αυτό γινόταν σχεδόν κάθε μέρα, έως ότου κάποια φορά ενώ ήταν αναμμένη, έσβησε μόνη της, άναψε μόνη της και πάει λέγοντας. Μην την πάρετε ως τηλεόραση.']",0,-1,1,-1
['Καλή τιμή σε σχέση με την ποιότητα'],0,-1,1,1
"['δεν λειτουργεί το YouTube , τιν παλέψαμε 5 ημέρες και τπτ']",1,-1,2,0
['Τέλεια σε συσχετισμό τιμή -προιον.\nΑξίζει τα λεπτά της.'],0,-1,1,1
